date;text;					
2017-11-15 02:38;"Going on board my @easyJet flight in @EdiAirport this afternoon	 with my suitable cabin luggage	 was an extremely upsetting experience. Saying that #EasyJet staff poorly managed the situation would be an understatement. They were rude and offensive. #NeverAgain pic.twitter.com/6PBfKmL9Un"			
2017-11-15 02:31;"stupid ass question and the internet aint doing SHIT but can i bring hair straighteners in a cabin bag when flying with eastjet? #ok #flying #Easyjet"					
2017-11-15 01:32;"Ma moitié à réussi à faire PARIS TOULOUSE en 6 heures #easyjet easylate? En #TGV Atlantique il aurait gagné en temps et confort ! Bad choice"					
2017-11-15 00:58;"How amazing is this photo I captured travelling from Glasgow to Belfast!! Outstanding views	 breath taking! #skyview #easyjet #glasgowtobelfast #photography pic.twitter.com/g8a25keTH7"				
2017-11-15 00:50;"#TrafficoAereo : le statistiche passeggeri #Ryanair e #EasyJet di Settembre 2017 https://www. trasportinfo.com/2017/11/14/tra ffico-aereo-statistiche-ryanair-easyjet-settembre-2017/ … #LowCost #Statistiche pic.twitter.com/cHLb4qLmwT"					
2017-11-15 00:21;"#Easyjet wil tegen 2037 elke vlucht onder twee uur elektrisch doen http://www. dutchcowboys.nl/technology/eas yjet-wil-tegen-2037-elke-vlucht-onder-twee-uur-elektrisch-doen … | #Tech"					
2017-11-15 00:05;"All of the company of heaven want you to #travel to God's kingdom seek the lord #TravelTuesday #travelblogger #travelphotography #TravelKind #traveldiaries #travelskills #holidays #TravelChatSA #AmericanAirlines #Easyjet #Ryanair #britishairways pic.twitter.com/GzcXFBwc60"					
2017-11-14 23:59;"I’m helping to ensure a smooth and departure. #Easyjet"					
2017-11-14 23:27;"Who is the #Easyjet safety announcement voiceover artist? Phil Gail	 of #BigBreakfast fame!Thank me later. X"				
2017-11-14 23:17;"Welcome to #EasyStress ! Full flight	 no room in overhead lockers	 passengers turned back to give in bags	 confusion abounds on #Easyjet !"		
2017-11-14 23:01;"Let it go. #10 #forever #love #nice #happy #smile #basel #switzerland #cool #travel #easyjet … https://www. instagram.com/p/BbfJSofhxmx/"					
2017-11-14 22:00;"#Easyjet #7Nights #Flight + #Hotel #BeachDeals { http:// ift.tt/2r643gR } from #London #LutonAirport #londonislovinit pic.twitter.com/MQVWFD9xII"					
2017-11-14 21:45;"#EASYJET #FLIGHT + #HOTEL #BEACHHOLIDAY #SALE { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fbeach-holidays%2F%3Futm_source%3Dawin_uk%26utm_medium%3DAfiliacion%26utm_campaign%3Deasterpromo%26awc%3D6296_1492012547_7625ba2b0326204c27646f8c6fa4edf4 … } with #DISCOUNTCODE #londonislovinit pic.twitter.com/YXodGRlCSg"					
2017-11-14 21:38;"@easyJet why do you offer October half term flights	 yet stop on the Saturday then I have to wait until March to book our return on the Sunday. Same happened in 2017. #annoying #Easyjet"				
2017-11-14 21:31;"#Easyjet have a new offer! Code: #ESCAPENOV #Discount : 40GBP Min spend 800GBP { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Flate-deals%2F%3Futm_medium%3DAfiliacion%26utm_source%3DAwin_UK%26utm_campaign%3Dlate … } Departure dates: 1Dec-31Jan Booking date: 13Nov-19Nov #TravelTuesday #beachthursday #travelbloggers #ttot #tt #england #wales #scotland #Europe"					
2017-11-14 20:40;"#LTN #Lutonairport #London #traveltuesday #LoveLondon #hotel #airporthotel #airportlife #earlyflight #frequentflyer #easyjet #wizzair #ryanair #vueling @LDNLutonAirport https:// airportsandhotelsblog.wordpress.com/2017/11/14/hot els-near-luton-airport-in-london/ …"					
